No.,Player,Pos,Ht,Date Ht,Wt,Birth Date,Nationality,Exp,College
34,Giannis Antetokounmpo,PF,6'11,11-Jun,242,December 6 1994,gr,5,
6,Eric Bledsoe,PG,6'1,1-Jun,205,December 9 1989,us,8,Kentucky
13,Malcolm Brogdon,SG,6'5,5-Jun,229,December 11 1992,us,2,Virginia
23,Sterling Brown,SG,6'6,6-Jun,232,February 10 1995,us,1,SMU
7,Isaiah Canaan,PG,6'1,Jun-00,201,May 21 1991,us,5,Murray State
50,Bonzie Colson,SF,6'6,6-Jun,224,January 12 1996,us,0,Notre Dame
24,Pat Connaughton,SG,6'4,4-Jun,209,January 6 1993,us,3,Notre Dame
8,Matthew Dellavedova,PG,6'4,4-Jun,200,September 8 1990,au,5,Saint Mary's
9,Donte DiVincenzo,SG,6'4,4-Jun,203,January 31 1997,us,0,Villanova
0,Trevon Duval,PG,6'2,2-Jun,189,August 3 1998,us,0,Duke
12,Tim Frazier,PG,6'1,1-Jun,170,November 1 1990,us,4,Penn State
17,Pau Gasol,C,7'1,Jul-00,250,July 6 1980,es,17,
31,John Henson,C,6'11,11-Jun,219,December 28 1990,us,6,UNC
3,George Hill,PG,6'3,3-Jun,188,May 4 1986,us,10,IUPUI
77,Ersan İlyasova,PF,6'10,10-Jun,235,May 15 1987,tr,10,
11,Brook Lopez,C,7'1,Jul-00,270,April 1 1988,us,10,Stanford
7,Thon Maker,C,7'1,1-Jul,221,February 25 1997,ss,2,
22,Khris Middleton,SF,6'8,8-Jun,222,August 12 1991,us,6,Texas A&M
41,Nikola Mirotić,PF,6'10,10-Jun,250,February 11 1991,me,4,
30,Jaylen Morris,SG,6'5,5-Jun,185,September 19 1995,us,1,Molloy
20,Jason Smith,PF,7'1,Jul-00,240,March 2 1986,us,10,Colorado State
21,Tony Snell,SF,6'7,7-Jun,213,November 10 1991,us,5,New Mexico
5,D.J. Wilson,PF,6'10,10-Jun,231,February 19 1996,us,1,Michigan
35,Christian Wood,PF,6'10,10-Jun,214,September 27 1995,us,2,UNLV
3,OG Anunoby,SF,6'8,8-Jun,232,July 17 1997,gb,1,Indiana
25,Chris Boucher,PF,6'10,10-Jun,200,January 11 1993,lc,1,Oregon
4,Lorenzo Brown,PG,6'5,5-Jun,189,August 26 1990,us,4,NC State
33,Marc Gasol,C,7'1,1-Jul,255,January 29 1985,es,10,
14,Danny Green,SG,6'6,6-Jun,215,June 22 1987,us,9,UNC
9,Serge Ibaka,C,6'10,10-Jun,235,September 18 1989,cg,9,
2,Kawhi Leonard,SF,6'7,7-Jun,230,June 29 1991,us,7,San Diego State
17,Jeremy Lin,PG,6'3,3-Jun,200,August 23 1988,us,8,Harvard University
7,Kyle Lowry,PG,6'1,1-Jun,196,March 25 1986,us,12,Villanova
8,Jordan Loyd,PG,6'4,4-Jun,210,July 27 1993,us,0,Furman University University of Indianapolis
1,Patrick McCaw,SG,6'7,7-Jun,185,October 25 1995,us,2,UNLV
20,Jodie Meeks,SG,6'4,4-Jun,210,August 21 1987,us,9,Kentucky
0,C.J. Miles,SF,6'6,6-Jun,220,March 18 1987,us,13,
13,Malcolm Miller,SF,6'7,7-Jun,210,March 6 1993,us,1,Holy Cross
15,Greg Monroe,C,6'11,11-Jun,265,June 4 1990,us,8,Georgetown
15,Eric Moreland,PF,6'10,10-Jun,238,December 24 1991,us,3,Oregon State
24,Norman Powell,SG,6'4,4-Jun,215,May 25 1993,us,3,UCLA
22,Malachi Richardson,SG,6'6,6-Jun,205,January 5 1996,us,2,Syracuse
43,Pascal Siakam,PF,6'9,9-Jun,230,April 2 1994,cm,2,New Mexico State
17,Jonas Valančiūnas,C,7'1,Jul-00,265,May 6 1992,lt,6,
23,Fred VanVleet,PG,6'1,Jun-00,195,February 25 1994,us,2,Wichita State
55,Delon Wright,PG,6'5,5-Jun,183,April 26 1992,us,3,Utah
43,Jonah Bolden,PF,6'10,10-Jun,220,January 2 1996,au,0,UCLA
0,Corey Brewer,SF,6'9,9-Jun,186,March 5 1986,us,11,Florida
23,Jimmy Butler,SF,6'8,8-Jun,232,September 14 1989,us,7,Marquette
22,Wilson Chandler,PF,6'9,9-Jun,225,May 10 1987,us,10,DePaul
33,Robert Covington,SF,6'9,9-Jun,225,December 14 1990,us,5,Tennessee State
21,Joel Embiid,C,7'1,Jul-00,250,March 16 1994,cm,2,Kansas
11,James Ennis,SF,6'7,7-Jun,210,July 1 1990,us,4,Cal State Long Beach
20,Markelle Fultz,SG,6'4,4-Jun,200,May 29 1998,us,1,Washington
33,Tobias Harris,PF,6'9,9-Jun,235,July 15 1992,us,7,Tennessee
7,Haywood Highsmith,SF,6'7,7-Jun,220,December 9 1996,us,0,Wheeling Jesuit University
11,Demetrius Jackson,PG,6'1,1-Jun,201,September 7 1994,us,2,Notre Dame
5,Amir Johnson,C,6'9,9-Jun,240,May 1 1987,us,13,
30,Furkan Korkmaz,SG,6'7,7-Jun,190,July 24 1997,tr,1,
51,Boban Marjanović,C,7'3,3-Jul,290,August 15 1988,rs,3,
12,T.J. McConnell,PG,6'2,2-Jun,190,March 25 1992,us,3,Duquesne Arizona
18,Shake Milton,SG,6'6,6-Jun,207,September 26 1996,us,0,SMU
55,Greg Monroe,C,6'11,11-Jun,265,June 4 1990,us,8,Georgetown
31,Mike Muscala,PF,6'11,11-Jun,240,July 1 1991,us,5,Bucknell
0,Justin Patton,C,7'1,Jul-00,241,June 14 1997,us,1,Creighton
17,J.J. Redick,SG,6'4,4-Jun,200,June 24 1984,us,12,Duke
9,Dario Šarić,PF,6'10,10-Jun,223,April 8 1994,hr,2,
1,Mike Scott,PF,6'8,8-Jun,237,July 16 1988,us,6,Virginia
1,Landry Shamet,SG,6'5,5-Jun,188,March 13 1997,us,0,Wichita State
25,Ben Simmons,PG,6'10,10-Jun,230,July 20 1996,au,1,LSU
14,Jonathon Simmons,SF,6'6,6-Jun,195,September 14 1989,us,3,Houston
8,Zhaire Smith,SG,6'4,4-Jun,199,June 4 1999,us,0,Texas Tech
46,Aron Baynes,C,6'10,10-Jun,260,December 9 1986,nz,6,Washington State
7,Jaylen Brown,SG,6'7,7-Jun,220,October 24 1996,us,2,Cal
50,PJ Dozier,SG,6'6,6-Jun,205,October 25 1996,us,1,South Carolina
20,Gordon Hayward,PF,6'8,8-Jun,225,March 23 1990,us,8,Butler
42,Al Horford,C,6'10,10-Jun,245,June 3 1986,do,11,Florida
28,R.J. Hunter,SG,6'5,5-Jun,185,October 24 1993,us,3,Georgia State University
11,Kyrie Irving,PG,6'3,3-Jun,193,March 23 1992,au,7,Duke
55,Greg Monroe,C,6'11,11-Jun,265,June 4 1990,us,8,Georgetown
13,Marcus Morris,PF,6'9,9-Jun,235,September 2 1989,us,7,Kansas
37,Semi Ojeleye,PF,6'7,7-Jun,241,December 5 1994,us,1,SMU
12,Terry Rozier,PG,6'1,1-Jun,190,March 17 1994,us,3,Louisville
36,Marcus Smart,SG,6'4,4-Jun,220,March 6 1994,us,4,Oklahoma State
0,Jayson Tatum,SF,6'8,8-Jun,208,March 3 1998,us,1,Duke
27,Daniel Theis,C,6'8,8-Jun,243,April 4 1992,de,1,
9,Brad Wanamaker,PG,6'4,4-Jun,210,July 25 1989,us,0,Pitt
44,Robert Williams,C,6'10,10-Jun,240,October 17 1997,us,0,Texas A&M
30,Guerschon Yabusele,PF,6'8,8-Jun,260,December 17 1995,fr,1,
13,Ike Anigbogu,C,6'10,10-Jun,250,October 17 1998,us,1,UCLA
44,Bojan Bogdanović,SF,6'8,8-Jun,216,April 18 1989,ba,4,
2,Darren Collison,PG,6'1,Jun-00,175,August 23 1987,us,9,UCLA
12,Tyreke Evans,SG,6'6,6-Jun,220,September 19 1989,us,9,Memphis
3,Aaron Holiday,PG,6'1,1-Jun,185,September 30 1996,us,0,UCLA
24,Alize Johnson,PF,6'9,9-Jun,212,April 22 1996,us,0,Missouri State
6,Cory Joseph,PG,6'3,3-Jun,193,August 20 1991,ca,7,Texas
22,T.J. Leaf,PF,6'10,10-Jun,225,April 30 1997,il,1,UCLA
23,Wesley Matthews,SG,6'5,5-Jun,220,October 14 1986,us,9,Marquette
20,Doug McDermott,SF,6'8,8-Jun,225,January 3 1992,us,4,Creighton
10,Kyle O'Quinn,C,6'10,10-Jun,250,March 26 1990,us,6,Norfolk State
