Player,2018/19
Stephen Curry ,37457154.00
Russell Westbrook ,35665000.00
Chris Paul ,35654150.00
LeBron James ,35654150.00
Kyle Lowry ,32700000.00
Blake Griffin ,31873932.00
Gordon Hayward ,31214295.00
James Harden ,30570000.00
Paul George ,30560700.00
Mike Conley ,30521115.00
Kevin Durant ,30000000.00
Paul Millsap ,29230769.00
Al Horford ,28928710.00
Damian Lillard ,27977689.00
DeMar DeRozan ,27739975.00
Chris Bosh ,26837720.00
Jrue Holiday ,26641111.00
Otto Porter ,26011913.00
CJ McCollum ,25759766.00
Nikola Jokic ,25467250.00
Andrew Wiggins ,25467250.00
Joel Embiid ,25467250.00
Anthony Davis ,25434263.00
Andre Drummond ,25434262.00
Bradley Beal ,25434262.00
Hassan Whiteside ,24434262.00
Dwight Howard ,24256725.00
Giannis Antetokounmpo ,24157304.00
Steven Adams ,24157304.00
Kevin Love ,24119025.00
Marc Gasol ,24119025.00
Chandler Parsons ,24107258.00
Harrison Barnes ,24107258.00
Nicolas Batum ,24000000.00
Rudy Gobert ,23491573.00
Kawhi Leonard ,23114066.00
DeAndre Jordan ,22897200.00
LaMarcus Aldridge ,22347015.00
Serge Ibaka ,21666667.00
Aaron Gordon ,21590909.00
Danilo Gallinari ,21587579.00
Victor Oladipo ,21000000.00
Ryan Anderson ,20421546.00
Joakim Noah ,20261172.00
Kyrie Irving ,20099189.00
Jabari Parker ,20000000.00
Jimmy Butler ,19841627.00
Zach LaVine ,19500000.00
Wesley Matthews ,19360228.00
Allen Crabbe ,19332500.00
Enes Kanter ,19264603.00
Tyler Johnson ,19245370.00
John Wall ,19169800.00
George Hill ,19000000.00
Jeff Teague ,19000000.00
Klay Thompson ,18988725.00
Goran Dragic ,18109175.00
Kent Bazemore ,18089888.00
Evan Turner ,17868853.00
Tristan Thompson ,17469565.00
Draymond Green ,17469565.00
Tim Hardaway Jr ,17325000.00
Pau Gasol ,17133285.00
Reggie Jackson ,17043478.00
Bismack Biyombo ,17000000.00
Evan Fournier ,17000000.00
Derrick Favors ,16900000.00
Luol Deng ,16747954.00
Jonas Valanciunas ,16539326.00
Gary Harris ,16517857.00
Andre Iguodala ,16000000.00
Timofey Mozgov ,16000000.00
Ian Mahinmi ,16000000.00
Clint Capela ,15793104.00
Dennis Schroeder ,15500000.00
DeMarre Carroll ,15400000.00
Gorgui Dieng ,15170787.00
Eric Bledsoe ,15000000.00
Trevor Ariza ,15000000.00
Tobias Harris ,14800000.00
Ricky Rubio ,14800000.00
JR Smith ,14720000.00
Brandon Knight ,14631250.00
James Johnson ,14420700.00
Robin Lopez ,14357750.00
Kenneth Faried ,14242782.00
Marvin Williams ,14087500.00
Taj Gibson ,14000000.00
Thaddeus Young ,13764045.00
Tyson Chandler ,13585000.00
Marcin Gortat ,13565218.00
Kelly Olynyk ,13537527.00
Cody Zeller ,13528090.00
Eric Gordon ,13500375.00
Austin Rivers ,13155324.00
Michael Kidd-Gilchrist ,13000000.00
Khris Middleton ,13000000.00
Mason Plumlee ,12917808.00
Wilson Chandler ,12800562.00
Solomon Hill ,12763467.00
Nikola Vucevic ,12750000.00
Dion Waiters ,12705000.00
Joe Ingles ,12545455.00
Jeremy Lin ,12516746.00
Jordan Clarkson ,12500000.00
Nikola Mirotic ,12500000.00
Miles Plumlee ,12400000.00
Tyreke Evans ,12400000.00
Courtney Lee ,12253780.00
JJ Redick ,12250000.00
Kemba Walker ,12000000.00
Kentavious Caldwell-Pope ,12000000.00
Avery Bradley ,12000000.00
Will Barton ,11830358.00
TJ Warren ,11750000.00
Zach Randolph ,11692308.00
Patrick Mills ,11571429.00
Alec Burks ,11536515.00
Omer Asik ,11286516.00
Marcus Smart ,11160716.00
Jusuf Nurkic ,11111111.00
Iman Shumpert ,11011234.00
Moe Harkless ,10837079.00
Tony Snell ,10607143.00
Dante Exum ,10600000.00
Meyers Leonard ,10595506.00
John Henson ,10577466.00
Bojan Bogdanovic ,10500000.00
Mirza Teletovic ,10500000.00
Terrence Ross ,10500000.00
Robert Covington ,10464092.00
Rudy Gay ,10087200.00
Jon Leuer ,10002681.00
Darren Collison ,10000000.00
